age,experience,fg_per_game,fga_per_game,x3p_per_game,x3pa_per_game,x2p_per_game,x2pa_per_game,ft_per_game,fta_per_game,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
25.0,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,2,2.0,6.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0
21.0,2,4.8,10.0,1.8,4.0,3.0,6.0,1.0,1.3,0.3,1.3,1.5,3.3,0.8,0.3,2.0,3.0,12.3
23.0,4,5.0,6.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,2.0,12.0
21.0,3,0.5,2.0,0.0,0.5,0.5,1.5,0.0,0.0,0.5,0.5,1.0,1.0,0.0,1.5,0.5,2.5,1.0
33.0,12,2.3,5.0,1.0,2.3,1.3,2.7,0.7,0.7,0.3,3.7,4.0,2.3,1.0,0.7,0.7,2.0,6.3
28.0,4,1.7,3.3,0.3,1.3,1.3,2.0,1.0,1.0,0.7,2.7,3.3,0.3,2.0,1.0,0.7,1.3,4.7
22.0,1,2.3,4.5,0.8,2.0,1.5,2.5,0.0,0.0,0.3,2.0,2.3,2.0,0.8,0.3,1.3,1.5,5.3
22.0,2,1.3,4.0,0.5,2.5,0.8,1.5,0.3,0.5,0.8,1.3,2.0,0.5,0.3,0.0,0.5,2.0,3.3
28.0,8,3.8,5.3,0.0,0.0,3.8,5.3,1.3,2.5,2.3,6.3,8.5,1.3,0.3,0.8,1.8,3.0,8.8
27.0,6,7.0,18.0,3.3,7.0,3.8,11.0,2.5,3.5,0.5,3.3,3.8,4.5,1.3,0.0,2.5,1.8,19.8
20.0,2,7.0,10.3,0.0,0.0,7.0,10.3,1.5,2.3,5.3,8.0,13.3,3.3,0.8,2.0,2.8,3.3,15.5
